ID,Pred
2015_3106_3107,0.0
2015_3106_3110,0.5555203484950395
2015_3106_3113,0.0
2015_3106_3114,0.0
2015_3106_3116,0.0
2015_3106_3124,0.0
2015_3106_3129,0.5877273065731309
2015_3106_3140,0.5604534100578129
2015_3106_3143,0.0
2015_3106_3151,0.0
2015_3106_3163,0.0
2015_3106_3169,0.0
2015_3106_3173,0.0
2015_3106_3177,0.0
2015_3106_3181,0.0
2015_3106_3195,0.0
2015_3106_3199,0.0
2015_3106_3203,0.0
2015_3106_3211,0.0
2015_3106_3234,0.0
2015_3106_3235,0.0
2015_3106_3241,0.0
2015_3106_3246,0.0
2015_3106_3251,0.0
2015_3106_3257,0.0
2015_3106_3261,0.0
2015_3106_3268,0.0
2015_3106_3274,0.0
2015_3106_3278,0.0
2015_3106_3280,0.0
2015_3106_3285,0.649778880620854
2015_3106_3304,0.0
2015_3106_3308,0.6601222196605706
2015_3106_3314,0.0
2015_3106_3321,0.0
2015_3106_3322,0.613369642991191
2015_3106_3323,0.0
2015_3106_3325,0.5377977375672949
2015_3106_3326,0.0
2015_3106_3328,0.0
2015_3106_3329,0.0
2015_3106_3333,0.0
2015_3106_3338,0.0
2015_3106_3343,0.0
2015_3106_3346,0.0
2015_3106_3353,0.0
2015_3106_3355,0.5343255082592133
2015_3106_3366,0.666749379909354
2015_3106_3371,0.0
2015_3106_3376,0.0
2015_3106_3378,0.0
2015_3106_3383,0.6399672254862442
2015_3106_3390,0.0
2015_3106_3393,0.0
2015_3106_3397,0.0
2015_3106_3398,0.611574304792653
2015_3106_3400,0.0
2015_3106_3401,0.0
2015_3106_3408,0.0
2015_3106_3443,0.0
2015_3106_3449,0.0
2015_3106_3453,0.0
2015_3106_3455,0.0
2015_3107_3110,0.8152080045350167
2015_3107_3113,0.0
2015_3107_3114,0.6434580475599465
2015_3107_3116,0.5904358609552361
2015_3107_3124,0.0
2015_3107_3129,0.8474149626131081
2015_3107_3140,0.8201410660977901
2015_3107_3143,0.0
2015_3107_3151,0.0
2015_3107_3163,0.0
2015_3107_3169,0.7465949328114696
2015_3107_3173,0.0
2015_3107_3177,0.5132775037240911
2015_3107_3181,0.0
2015_3107_3195,0.0
2015_3107_3199,0.0
2015_3107_3203,0.0
2015_3107_3211,0.648189793244377
2015_3107_3234,0.0
2015_3107_3235,0.5892559532753594
2015_3107_3241,0.6882451954321855
2015_3107_3246,0.0
2015_3107_3251,0.7564227248322274
2015_3107_3257,0.0
2015_3107_3261,0.6490003978838643
2015_3107_3268,0.0
2015_3107_3274,0.6366413787336307
2015_3107_3278,0.5118022590209014
2015_3107_3280,0.0
2015_3107_3285,0.9094665366608312
2015_3107_3304,0.5483961084678945
2015_3107_3308,0.919809875700548
2015_3107_3314,0.0
2015_3107_3321,0.0
2015_3107_3322,0.8730572990311682
2015_3107_3323,0.0
2015_3107_3325,0.7974853936072721
2015_3107_3326,0.0
2015_3107_3328,0.0
2015_3107_3329,0.5863795484979716
2015_3107_3333,0.0
2015_3107_3338,0.5931920415144751
2015_3107_3343,0.0
2015_3107_3346,0.691136246899304
2015_3107_3353,0.0
2015_3107_3355,0.7940131642991906
2015_3107_3366,0.9264370359493314
2015_3107_3371,0.5496018486840122
2015_3107_3376,0.0
2015_3107_3378,0.0
2015_3107_3383,0.8996548815262215
2015_3107_3390,0.0
2015_3107_3393,0.0
2015_3107_3397,0.0
2015_3107_3398,0.8712619608326302
2015_3107_3400,0.0
2015_3107_3401,0.0
2015_3107_3408,0.703415669370914
2015_3107_3443,0.6914550836635728
2015_3107_3449,0.0
2015_3107_3453,0.544567477132273
2015_3107_3455,0.7478656977931502
2015_3110_3113,0.0
2015_3110_3114,0.5209338894922455
2015_3110_3116,0.0
2015_3110_3124,0.0
2015_3110_3129,0.7248908045454071
2015_3110_3140,0.6976169080300891
2015_3110_3143,0.0
2015_3110_3151,0.0
2015_3110_3163,0.0
